skewness,curtosis,entropy,y
7.259,0.070827,-7.3004,1
3.3998,-4.4327,-4.2655,1
-9.2828,7.719,-1.7168,1
-3.6792,3.8281,1.6297,0
6.8369,0.69718,-0.55691,0
6.6258,0.48382,-2.2134,0
-7.108,5.6454,0.31335,1
-12.5667,15.1606,-0.75216,1
8.3516,-2.5425,-1.2823,0
-6.839,8.4207,-0.44829,0
-5.7154,3.8298,1.0233,1
-0.30626,1.3347,1.3763,1
-2.806,2.0116,0.67412,0
-1.7672,-0.34474,-0.12372,1
2.2369,2.7236,0.79438,0
6.841,-0.029423,0.44912,0
-4.0599,3.6259,-0.32544,0
5.7919,0.065686,-1.5759,0
7.3273,0.46583,-1.4543,0
2.7521,-0.72261,-2.353,1
-3.0729,3.0423,1.2741,0
0.6394,5.989,-0.58277,0
3.9544,-4.772,-4.4853,1
-3.4619,1.7048,1.1008,1
-0.38903,1.62,1.9103,1
9.5228,-4.0112,-3.5944,0
6.9176,-1.2744,-1.5759,0
7.6274,1.2061,-3.6241,0
-4.7738,8.527,-1.8668,0
3.8923,-4.8277,-4.0069,1
-5.8126,10.8867,-0.52846,1
2.4955,0.79571,-1.1039,1
2.2638,-3.1046,-0.11855,1
-8.1819,12.1291,-1.6017,1
-4.778,6.2109,0.3974,1
2.4955,0.48554,0.36119,0
-10.0712,8.4156,-1.9948,1
-1.4092,1.1582,0.36507,1
6.065,-2.4534,-0.68234,0
-4.4862,3.6558,-0.61251,0
8.3847,-2.0995,-1.9677,0
6.8783,0.44784,-2.2224,0
2.0879,-3.3522,-0.66553,1
1.4816,-0.48355,0.95343,0
5.8561,1.8762,-0.32544,0
0.89392,-1.6283,-0.56854,1
-6.9756,5.5383,-0.12889,1
3.257,-1.3721,1.1668,0
10.3009,-4.8003,-4.3534,0
10.2243,-1.097,-4.0159,0
1.6533,-2.1964,-0.78061,1
3.8944,-4.7275,-4.3948,1
0.23589,-1.8785,1.3258,1
-4.5938,5.9068,0.57196,0
1.5685,-0.084261,-1.7453,1
4.8504,-5.2133,-6.1043,1
8.7903,-2.2324,-0.65259,0
3.7433,-0.40215,-1.2953,1
-3.3584,1.3749,1.3569,1
-0.4449,0.23448,0.27843,0
7.886,-1.6643,-1.8384,0
7.7391,-0.37816,-2.5405,0
-12.0205,11.9149,-2.7552,1
2.8763,0.1548,-1.2086,1
